fold,set,accuracy,f1,tpr,tnr,gmean,batch_size,learning_rate,seed,preprocessed_dir,weight_decay,dropout_prob
MEAN,TEST,0.6,0.5802116402116402,0.6439393939393938,0.5560439560439561,0.5521299438409082,16,0.001,40,resize_mini_hu_m600_1500_separadas,0,0.3
1,VALIDATION,0.8,0.7777777777777778,0.7777777777777778,0.8181818181818182,0.7977240352174657,4,0.001,123,resize_mini_hu_m300_1400_separadas,0,0.3
1,TEST,0.48,0.48,0.5,0.46153846153846156,0.4803844614152614,4,0.001,123,resize_mini_hu_m300_1400_separadas,0,0.3
2,VALIDATION,0.8,0.8,0.8888888888888888,0.7272727272727273,0.8040302522073697,4,0.001,123,resize_mini_hu_m300_1400_separadas,0,0.3
2,TEST,0.72,0.7407407407407407,0.8333333333333334,0.6153846153846154,0.716114874039433,4,0.001,123,resize_mini_hu_m300_1400_separadas,0,0.3
3,VALIDATION,0.7,0.7272727272727273,0.8888888888888888,0.5454545454545454,0.6963106238227913,4,0.001,123,resize_mini_hu_m300_1400_separadas,0,0.3
3,TEST,0.56,0.6666666666666666,0.9166666666666666,0.23076923076923078,0.45993310550389993,4,0.001,123,resize_mini_hu_m300_1400_separadas,0,0.3
4,VALIDATION,0.7,0.7272727272727273,0.8888888888888888,0.5454545454545454,0.6963106238227913,4,0.001,123,resize_mini_hu_m300_1400_separadas,0,0.3
4,TEST,0.44,0.6111111111111112,0.9166666666666666,0.0,0.0,4,0.001,123,resize_mini_hu_m300_1400_separadas,0,0.3
5,VALIDATION,0.75,0.7619047619047619,0.8,0.7,0.7483314773547882,4,0.001,123,resize_mini_hu_m300_1400_separadas,0,0.3
5,TEST,0.88,0.8695652173913043,0.9090909090909091,0.8571428571428571,0.8827348295047495,4,0.001,123,resize_mini_hu_m300_1400_separadas,0,0.3
MEAN,VALIDATION,0.75,0.7588455988455989,0.8488888888888889,0.6672727272727272,0.7485414024850412,4,0.001,123,resize_mini_hu_m300_1400_separadas,0,0.3
MEAN,TEST,0.616,0.6736167471819645,0.8151515151515151,0.43296703296703304,0.5078334540926688,4,0.001,123,resize_mini_hu_m300_1400_separadas,0,0.3
1,VALIDATION,0.8,0.8,0.8888888888888888,0.7272727272727273,0.8040302522073697,16,0.001,123,resize_mini_hu_m300_1400_separadas,0,0.3
1,TEST,0.44,0.5333333333333333,0.6666666666666666,0.23076923076923078,0.3922322702763681,16,0.001,123,resize_mini_hu_m300_1400_separadas,0,0.3
2,VALIDATION,0.75,0.7368421052631579,0.7777777777777778,0.7272727272727273,0.7521014330903549,16,0.001,123,resize_mini_hu_m300_1400_separadas,0,0.3
2,TEST,0.68,0.6363636363636364,0.5833333333333334,0.7692307692307693,0.6698641270570838,16,0.001,123,resize_mini_hu_m300_1400_separadas,0,0.3
3,VALIDATION,0.8,0.7777777777777778,0.7777777777777778,0.8181818181818182,0.7977240352174657,16,0.001,123,resize_mini_hu_m300_1400_separadas,0,0.3
3,TEST,0.6,0.6153846153846154,0.6666666666666666,0.5384615384615384,0.599144689515278,16,0.001,123,resize_mini_hu_m300_1400_separadas,0,0.3
4,VALIDATION,0.75,0.7058823529411765,0.6666666666666666,0.8181818181818182,0.7385489458759964,16,0.001,123,resize_mini_hu_m300_1400_separadas,0,0.3
4,TEST,0.52,0.4,0.3333333333333333,0.6923076923076923,0.48038446141526137,16,0.001,123,resize_mini_hu_m300_1400_separadas,0,0.3
5,VALIDATION,0.65,0.72,0.9,0.4,0.6000000000000001,16,0.001,123,resize_mini_hu_m300_1400_separadas,0,0.3
5,TEST,0.64,0.7096774193548387,1.0,0.35714285714285715,0.5976143046671968,16,0.001,123,resize_mini_hu_m300_1400_separadas,0,0.3
MEAN,VALIDATION,0.75,0.7481004471964224,0.8022222222222222,0.6981818181818182,0.7384809332782373,16,0.001,123,resize_mini_hu_m300_1400_separadas,0,0.3
MEAN,TEST,0.5760000000000001,0.5789518008872848,0.65,0.5175824175824176,0.5478479705862377,16,0.001,123,resize_mini_hu_m300_1400_separadas,0,0.3
1,VALIDATION,0.7,0.7,0.7777777777777778,0.6363636363636364,0.7035264706814485,4,0.001,123,resize_mini_hu_m600_1500_separadas,0,0.3
1,TEST,0.6,0.6666666666666666,0.8333333333333334,0.38461538461538464,0.5661385170722979,4,0.001,123,resize_mini_hu_m600_1500_separadas,0,0.3
2,VALIDATION,0.7,0.7272727272727273,0.8888888888888888,0.5454545454545454,0.6963106238227913,4,0.001,123,resize_mini_hu_m600_1500_separadas,0,0.3
2,TEST,0.52,0.5,0.5,0.5384615384615384,0.5188745216627708,4,0.001,123,resize_mini_hu_m600_1500_separadas,0,0.3
3,VALIDATION,0.75,0.7368421052631579,0.7777777777777778,0.7272727272727273,0.7521014330903549,4,0.001,123,resize_mini_hu_m600_1500_separadas,0,0.3
3,TEST,0.56,0.6451612903225806,0.8333333333333334,0.3076923076923077,0.5063696835418333,4,0.001,123,resize_mini_hu_m600_1500_separadas,0,0.3
4,VALIDATION,0.75,0.7368421052631579,0.7777777777777778,0.7272727272727273,0.7521014330903549,4,0.001,123,resize_mini_hu_m600_1500_separadas,0,0.3
4,TEST,0.52,0.625,0.8333333333333334,0.23076923076923078,0.4385290096535146,4,0.001,123,resize_mini_hu_m600_1500_separadas,0,0.3
5,VALIDATION,0.8,0.8181818181818182,0.9,0.7,0.7937253933193772,4,0.001,123,resize_mini_hu_m600_1500_separadas,0,0.3
5,TEST,0.64,0.64,0.7272727272727273,0.5714285714285714,0.6446583712203042,4,0.001,123,resize_mini_hu_m600_1500_separadas,0,0.3
MEAN,VALIDATION,0.74,0.7438277511961723,0.8244444444444443,0.6672727272727272,0.7395530708008653,4,0.001,123,resize_mini_hu_m600_1500_separadas,0,0.3
MEAN,TEST,0.5680000000000001,0.6153655913978494,0.7454545454545455,0.4065934065934066,0.5349140206301441,4,0.001,123,resize_mini_hu_m600_1500_separadas,0,0.3
1,VALIDATION,0.85,0.8,0.6666666666666666,1.0,0.816496580927726,16,0.001,123,resize_mini_hu_m600_1500_separadas,0,0.3
1,TEST,0.64,0.6666666666666666,0.75,0.5384615384615384,0.6354889093022426,16,0.001,123,resize_mini_hu_m600_1500_separadas,0,0.3
2,VALIDATION,0.8,0.7777777777777778,0.7777777777777778,0.8181818181818182,0.7977240352174657,16,0.001,123,resize_mini_hu_m600_1500_separadas,0,0.3
2,TEST,0.52,0.5,0.5,0.5384615384615384,0.5188745216627708,16,0.001,123,resize_mini_hu_m600_1500_separadas,0,0.3
3,VALIDATION,0.8,0.7777777777777778,0.7777777777777778,0.8181818181818182,0.7977240352174657,16,0.001,123,resize_mini_hu_m600_1500_separadas,0,0.3
3,TEST,0.64,0.6666666666666666,0.75,0.5384615384615384,0.6354889093022426,16,0.001,123,resize_mini_hu_m600_1500_separadas,0,0.3
4,VALIDATION,0.8,0.7777777777777778,0.7777777777777778,0.8181818181818182,0.7977240352174657,16,0.001,123,resize_mini_hu_m600_1500_separadas,0,0.3
4,TEST,0.68,0.6,0.5,0.8461538461538461,0.6504436355879909,16,0.001,123,resize_mini_hu_m600_1500_separadas,0,0.3
5,VALIDATION,0.8,0.7777777777777778,0.7,0.9,0.7937253933193772,16,0.001,123,resize_mini_hu_m600_1500_separadas,0,0.3
5,TEST,0.56,0.42105263157894735,0.36363636363636365,0.7142857142857143,0.5096471914376256,16,0.001,123,resize_mini_hu_m600_1500_separadas,0,0.3
MEAN,VALIDATION,0.8099999999999999,0.7822222222222222,0.74,0.8709090909090911,0.8006788159799001,16,0.001,123,resize_mini_hu_m600_1500_separadas,0,0.3
MEAN,TEST,0.6080000000000001,0.5708771929824561,0.5727272727272728,0.6351648351648352,0.5899886334585744,16,0.001,123,resize_mini_hu_m600_1500_separadas,0,0.3
1,VALIDATION,0.65,0.6956521739130435,0.8888888888888888,0.45454545454545453,0.6356417261637282,4,0.001,777,resize_mini_hu_m300_1400_separadas,0,0.3
1,TEST,0.56,0.5217391304347826,0.5,0.6153846153846154,0.5547001962252291,4,0.001,777,resize_mini_hu_m300_1400_separadas,0,0.3
2,VALIDATION,0.85,0.8235294117647058,0.7777777777777778,0.9090909090909091,0.8408749651825217,4,0.001,777,resize_mini_hu_m300_1400_separadas,0,0.3
2,TEST,0.68,0.6666666666666666,0.6666666666666666,0.6923076923076923,0.6793662204867574,4,0.001,777,resize_mini_hu_m300_1400_separadas,0,0.3
3,VALIDATION,0.55,0.47058823529411764,0.4444444444444444,0.6363636363636364,0.5318160234783105,4,0.001,777,resize_mini_hu_m300_1400_separadas,0,0.3
3,TEST,0.68,0.6923076923076923,0.75,0.6153846153846154,0.6793662204867574,4,0.001,777,resize_mini_hu_m300_1400_separadas,0,0.3
4,VALIDATION,0.65,0.631578947368421,0.6666666666666666,0.6363636363636364,0.6513389472789296,4,0.001,777,resize_mini_hu_m300_1400_separadas,0,0.3
4,TEST,0.64,0.6896551724137931,0.8333333333333334,0.46153846153846156,0.6201736729460423,4,0.001,777,resize_mini_hu_m300_1400_separadas,0,0.3
5,VALIDATION,0.65,0.6666666666666666,0.7,0.6,0.648074069840786,4,0.001,777,resize_mini_hu_m300_1400_separadas,0,0.3
5,TEST,0.72,0.6666666666666666,0.6363636363636364,0.7857142857142857,0.7071067811865476,4,0.001,777,resize_mini_hu_m300_1400_separadas,0,0.3
MEAN,VALIDATION,0.6699999999999999,0.6576030870013908,0.6955555555555554,0.6472727272727272,0.6615491463888551,4,0.001,777,resize_mini_hu_m300_1400_separadas,0,0.3
MEAN,TEST,0.656,0.6474070656979202,0.6772727272727272,0.634065934065934,0.6481426182662667,4,0.001,777,resize_mini_hu_m300_1400_separadas,0,0.3
1,VALIDATION,0.55,0.6086956521739131,0.7777777777777778,0.36363636363636365,0.5318160234783105,16,0.001,777,resize_mini_hu_m300_1400_separadas,0,0.3
1,TEST,0.6,0.6153846153846154,0.6666666666666666,0.5384615384615384,0.599144689515278,16,0.001,777,resize_mini_hu_m300_1400_separadas,0,0.3
2,VALIDATION,0.75,0.6153846153846154,0.4444444444444444,1.0,0.6666666666666666,16,0.001,777,resize_mini_hu_m300_1400_separadas,0,0.3
2,TEST,0.56,0.47619047619047616,0.4166666666666667,0.6923076923076923,0.5370861555295747,16,0.001,777,resize_mini_hu_m300_1400_separadas,0,0.3
3,VALIDATION,0.55,0.5263157894736842,0.5555555555555556,0.5454545454545454,0.5504818825631803,16,0.001,777,resize_mini_hu_m300_1400_separadas,0,0.3
3,TEST,0.64,0.6086956521739131,0.5833333333333334,0.6923076923076923,0.6354889093022426,16,0.001,777,resize_mini_hu_m300_1400_separadas,0,0.3
4,VALIDATION,0.65,0.6666666666666666,0.7777777777777778,0.5454545454545454,0.6513389472789296,16,0.001,777,resize_mini_hu_m300_1400_separadas,0,0.3
4,TEST,0.52,0.625,0.8333333333333334,0.23076923076923078,0.4385290096535146,16,0.001,777,resize_mini_hu_m300_1400_separadas,0,0.3
5,VALIDATION,0.7,0.7692307692307693,1.0,0.4,0.6324555320336759,16,0.001,777,resize_mini_hu_m300_1400_separadas,0,0.3
5,TEST,0.8,0.8,0.9090909090909091,0.7142857142857143,0.8058229640253803,16,0.001,777,resize_mini_hu_m300_1400_separadas,0,0.3
MEAN,VALIDATION,0.64,0.6372586985859297,0.7111111111111111,0.5709090909090909,0.6065518104041525,16,0.001,777,resize_mini_hu_m300_1400_separadas,0,0.3
MEAN,TEST,0.624,0.625054148749801,0.6818181818181819,0.5736263736263736,0.6032143456051979,16,0.001,777,resize_mini_hu_m300_1400_separadas,0,0.3
1,VALIDATION,0.65,0.6956521739130435,0.8888888888888888,0.45454545454545453,0.6356417261637282,4,0.001,777,resize_mini_hu_m600_1500_separadas,0,0.3
1,TEST,0.6,0.6428571428571429,0.75,0.46153846153846156,0.5883484054145521,4,0.001,777,resize_mini_hu_m600_1500_separadas,0,0.3
2,VALIDATION,0.75,0.6666666666666666,0.5555555555555556,0.9090909090909091,0.7106690545187014,4,0.001,777,resize_mini_hu_m600_1500_separadas,0,0.3
2,TEST,0.48,0.43478260869565216,0.4166666666666667,0.5384615384615384,0.47366546671567095,4,0.001,777,resize_mini_hu_m600_1500_separadas,0,0.3
3,VALIDATION,0.6,0.6,0.6666666666666666,0.5454545454545454,0.6030226891555273,4,0.001,777,resize_mini_hu_m600_1500_separadas,0,0.3
3,TEST,0.4,0.4827586206896552,0.5833333333333334,0.23076923076923078,0.36689969285267143,4,0.001,777,resize_mini_hu_m600_1500_separadas,0,0.3
4,VALIDATION,0.6,0.6363636363636364,0.7777777777777778,0.45454545454545453,0.5945883900105632,4,0.001,777,resize_mini_hu_m600_1500_separadas,0,0.3
4,TEST,0.6,0.7058823529411765,1.0,0.23076923076923078,0.4803844614152614,4,0.001,777,resize_mini_hu_m600_1500_separadas,0,0.3
5,VALIDATION,0.65,0.72,0.9,0.4,0.6000000000000001,4,0.001,777,resize_mini_hu_m600_1500_separadas,0,0.3
5,TEST,0.56,0.6451612903225806,0.9090909090909091,0.2857142857142857,0.5096471914376255,4,0.001,777,resize_mini_hu_m600_1500_separadas,0,0.3
MEAN,VALIDATION,0.65,0.6637364953886692,0.7577777777777778,0.5527272727272726,0.628784371969704,4,0.001,777,resize_mini_hu_m600_1500_separadas,0,0.3
MEAN,TEST,0.528,0.5822884031012415,0.7318181818181818,0.34945054945054943,0.48378904356715624,4,0.001,777,resize_mini_hu_m600_1500_separadas,0,0.3
1,VALIDATION,0.65,0.72,1.0,0.36363636363636365,0.6030226891555273,16,0.001,777,resize_mini_hu_m600_1500_separadas,0,0.3
1,TEST,0.6,0.6428571428571429,0.75,0.46153846153846156,0.5883484054145521,16,0.001,777,resize_mini_hu_m600_1500_separadas,0,0.3
2,VALIDATION,0.8,0.75,0.6666666666666666,0.9090909090909091,0.7784989441615229,16,0.001,777,resize_mini_hu_m600_1500_separadas,0,0.3
2,TEST,0.48,0.43478260869565216,0.4166666666666667,0.5384615384615384,0.47366546671567095,16,0.001,777,resize_mini_hu_m600_1500_separadas,0,0.3
3,VALIDATION,0.55,0.47058823529411764,0.4444444444444444,0.6363636363636364,0.5318160234783105,16,0.001,777,resize_mini_hu_m600_1500_separadas,0,0.3
3,TEST,0.64,0.64,0.6666666666666666,0.6153846153846154,0.6405126152203485,16,0.001,777,resize_mini_hu_m600_1500_separadas,0,0.3
4,VALIDATION,0.6,0.6923076923076923,1.0,0.2727272727272727,0.5222329678670935,16,0.001,777,resize_mini_hu_m600_1500_separadas,0,0.3
4,TEST,0.44,0.6111111111111112,0.9166666666666666,0.0,0.0,16,0.001,777,resize_mini_hu_m600_1500_separadas,0,0.3
5,VALIDATION,0.6,0.6363636363636364,0.7,0.5,0.5916079783099616,16,0.001,777,resize_mini_hu_m600_1500_separadas,0,0.3
5,TEST,0.72,0.6666666666666666,0.6363636363636364,0.7857142857142857,0.7071067811865476,16,0.001,777,resize_mini_hu_m600_1500_separadas,0,0.3
MEAN,VALIDATION,0.64,0.6538519127930893,0.7622222222222221,0.5363636363636364,0.6054357205944831,16,0.001,777,resize_mini_hu_m600_1500_separadas,0,0.3
MEAN,TEST,0.576,0.5990835058661146,0.6772727272727272,0.4802197802197802,0.4819266537074238,16,0.001,777,resize_mini_hu_m600_1500_separadas,0,0.3
