n_estimators,max_depth,learning_rate,subsample,colsample_bytree,scale_pos_weight,F1_promedio,Recall_promedio,Accuracy_promedio
100,3,0.01,0.8,0.8,1.0,0.2168,0.26,0.4952
100,3,0.01,0.9,0.8,1.0,0.2034,0.26,0.4524
100,3,0.01,0.8,0.8,1.25,0.181,0.26,0.3562
100,3,0.01,0.9,0.8,1.25,0.2415,0.36,0.3705
100,3,0.01,0.8,0.8,1.5,0.3829,0.62,0.3971
100,3,0.01,0.9,0.8,1.5,0.2829,0.44,0.3705
100,3,0.01,0.8,0.8,1.75,0.4411,0.79,0.3686
100,3,0.01,0.9,0.8,1.75,0.421,0.74,0.3686
100,3,0.01,0.8,0.8,2.0,0.462,0.88,0.3562
100,3,0.01,0.9,0.8,2.0,0.455,0.84,0.3705
200,3,0.01,0.8,0.8,1.0,0.1911,0.22,0.5219
200,3,0.01,0.9,0.8,1.0,0.1911,0.22,0.5076
200,3,0.01,0.8,0.8,1.25,0.1917,0.26,0.4238
200,3,0.01,0.9,0.8,1.25,0.186,0.26,0.4105
200,3,0.01,0.8,0.8,1.5,0.2143,0.3,0.3971
200,3,0.01,0.9,0.8,1.5,0.2543,0.35,0.3971
200,3,0.01,0.8,0.8,1.75,0.2698,0.39,0.3419
200,3,0.01,0.9,0.8,1.75,0.2415,0.35,0.3429
200,3,0.01,0.8,0.8,2.0,0.3333,0.51,0.3686
200,3,0.01,0.9,0.8,2.0,0.3561,0.56,0.3829
300,3,0.01,0.8,0.8,1.0,0.2223,0.26,0.5486
300,3,0.01,0.9,0.8,1.0,0.2168,0.26,0.5352
300,3,0.01,0.8,0.8,1.25,0.2429,0.3,0.479
300,3,0.01,0.9,0.8,1.25,0.2029,0.26,0.4657
300,3,0.01,0.8,0.8,1.5,0.2193,0.3,0.4105
300,3,0.01,0.9,0.8,1.5,0.2223,0.3,0.4238
300,3,0.01,0.8,0.8,1.75,0.2099,0.3,0.3838
300,3,0.01,0.9,0.8,1.75,0.2499,0.35,0.3838
300,3,0.01,0.8,0.8,2.0,0.2356,0.34,0.3552
300,3,0.01,0.9,0.8,2.0,0.2437,0.35,0.3571
100,4,0.01,0.8,0.8,1.0,0.1911,0.22,0.4943
100,4,0.01,0.9,0.8,1.0,0.1838,0.22,0.481
100,4,0.01,0.8,0.8,1.25,0.186,0.26,0.3971
100,4,0.01,0.9,0.8,1.25,0.1917,0.26,0.4105
100,4,0.01,0.8,0.8,1.5,0.3052,0.44,0.3695
100,4,0.01,0.9,0.8,1.5,0.2861,0.46,0.3848
100,4,0.01,0.8,0.8,1.75,0.383,0.67,0.3562
100,4,0.01,0.9,0.8,1.75,0.3782,0.62,0.3838
100,4,0.01,0.8,0.8,2.0,0.4378,0.8,0.3695
100,4,0.01,0.9,0.8,2.0,0.4235,0.76,0.3705
200,4,0.01,0.8,0.8,1.0,0.2056,0.22,0.5495
200,4,0.01,0.9,0.8,1.0,0.1911,0.22,0.5219
200,4,0.01,0.8,0.8,1.25,0.2294,0.26,0.4924
200,4,0.01,0.9,0.8,1.25,0.2539,0.3,0.5057
200,4,0.01,0.8,0.8,1.5,0.2237,0.3,0.4229
200,4,0.01,0.9,0.8,1.5,0.2223,0.3,0.4238
200,4,0.01,0.8,0.8,1.75,0.2382,0.34,0.3829
200,4,0.01,0.9,0.8,1.75,0.287,0.39,0.4114
200,4,0.01,0.8,0.8,2.0,0.2334,0.34,0.3419
200,4,0.01,0.9,0.8,2.0,0.2949,0.44,0.3695
300,4,0.01,0.8,0.8,1.0,0.2056,0.22,0.5629
300,4,0.01,0.9,0.8,1.0,0.1967,0.22,0.5486
300,4,0.01,0.8,0.8,1.25,0.255,0.3,0.5057
300,4,0.01,0.9,0.8,1.25,0.2595,0.3,0.519
300,4,0.01,0.8,0.8,1.5,0.2514,0.3,0.4924
300,4,0.01,0.9,0.8,1.5,0.2434,0.3,0.4781
300,4,0.01,0.8,0.8,1.75,0.2306,0.3,0.4371
300,4,0.01,0.9,0.8,1.75,0.2398,0.3,0.4648
300,4,0.01,0.8,0.8,2.0,0.2426,0.34,0.3971
300,4,0.01,0.9,0.8,2.0,0.2573,0.35,0.4114
100,5,0.01,0.8,0.8,1.0,0.1911,0.22,0.5086
100,5,0.01,0.9,0.8,1.0,0.1838,0.22,0.4943
100,5,0.01,0.8,0.8,1.25,0.1911,0.26,0.4114
100,5,0.01,0.9,0.8,1.25,0.1968,0.26,0.4248
100,5,0.01,0.8,0.8,1.5,0.2429,0.35,0.3562
100,5,0.01,0.9,0.8,1.5,0.3052,0.45,0.3981
100,5,0.01,0.8,0.8,1.75,0.3757,0.62,0.3695
100,5,0.01,0.9,0.8,1.75,0.3341,0.53,0.3695
100,5,0.01,0.8,0.8,2.0,0.4378,0.8,0.3695
100,5,0.01,0.9,0.8,2.0,0.4311,0.76,0.3848
200,5,0.01,0.8,0.8,1.0,0.2056,0.22,0.5486
200,5,0.01,0.9,0.8,1.0,0.1894,0.22,0.52
200,5,0.01,0.8,0.8,1.25,0.2258,0.26,0.479
200,5,0.01,0.9,0.8,1.25,0.2458,0.3,0.479
200,5,0.01,0.8,0.8,1.5,0.2368,0.3,0.4514
200,5,0.01,0.9,0.8,1.5,0.2458,0.3,0.479
200,5,0.01,0.8,0.8,1.75,0.2476,0.34,0.4105
200,5,0.01,0.9,0.8,1.75,0.2435,0.35,0.4248
200,5,0.01,0.8,0.8,2.0,0.2356,0.34,0.3705
200,5,0.01,0.9,0.8,2.0,0.3055,0.44,0.4114
300,5,0.01,0.8,0.8,1.0,0.1556,0.18,0.5352
300,5,0.01,0.9,0.8,1.0,0.1467,0.18,0.521
300,5,0.01,0.8,0.8,1.25,0.1867,0.22,0.4933
300,5,0.01,0.9,0.8,1.25,0.2595,0.3,0.5333
300,5,0.01,0.8,0.8,1.5,0.2514,0.3,0.4924
300,5,0.01,0.9,0.8,1.5,0.2514,0.3,0.4924
300,5,0.01,0.8,0.8,1.75,0.2372,0.3,0.4505
300,5,0.01,0.9,0.8,1.75,0.2398,0.3,0.4648
300,5,0.01,0.8,0.8,2.0,0.2695,0.34,0.4505
300,5,0.01,0.9,0.8,2.0,0.2193,0.3,0.4105
100,3,0.03,0.8,0.8,1.0,0.2312,0.26,0.5362
100,3,0.03,0.9,0.8,1.0,0.2256,0.26,0.4952
100,3,0.03,0.8,0.8,1.25,0.249,0.3,0.48
100,3,0.03,0.9,0.8,1.25,0.2168,0.26,0.4667
100,3,0.03,0.8,0.8,1.5,0.2173,0.3,0.3971
100,3,0.03,0.9,0.8,1.5,0.2193,0.3,0.4105
100,3,0.03,0.8,0.8,1.75,0.2073,0.3,0.3705
100,3,0.03,0.9,0.8,1.75,0.2437,0.35,0.3571
100,3,0.03,0.8,0.8,2.0,0.2582,0.38,0.3552
100,3,0.03,0.9,0.8,2.0,0.2415,0.35,0.3438
200,3,0.03,0.8,0.8,1.0,0.2056,0.22,0.5219
200,3,0.03,0.9,0.8,1.0,0.1556,0.18,0.5076
200,3,0.03,0.8,0.8,1.25,0.2676,0.3,0.521
200,3,0.03,0.9,0.8,1.25,0.2701,0.3,0.5343
200,3,0.03,0.8,0.8,1.5,0.2587,0.3,0.5067
200,3,0.03,0.9,0.8,1.5,0.2556,0.3,0.4933
200,3,0.03,0.8,0.8,1.75,0.2448,0.3,0.479
200,3,0.03,0.9,0.8,1.75,0.2244,0.3,0.4248
200,3,0.03,0.8,0.8,2.0,0.2275,0.3,0.4381
200,3,0.03,0.9,0.8,2.0,0.2193,0.3,0.4105
300,3,0.03,0.8,0.8,1.0,0.1467,0.18,0.481
300,3,0.03,0.9,0.8,1.0,0.1812,0.22,0.521
300,3,0.03,0.8,0.8,1.25,0.2123,0.26,0.4933
300,3,0.03,0.9,0.8,1.25,0.2256,0.26,0.5343
300,3,0.03,0.8,0.8,1.5,0.2123,0.26,0.4933
300,3,0.03,0.9,0.8,1.5,0.2123,0.26,0.5067
300,3,0.03,0.8,0.8,1.75,0.2623,0.3,0.52
300,3,0.03,0.9,0.8,1.75,0.2123,0.26,0.5067
300,3,0.03,0.8,0.8,2.0,0.2784,0.34,0.4924
300,3,0.03,0.9,0.8,2.0,0.1938,0.26,0.4505
100,4,0.03,0.8,0.8,1.0,0.2056,0.22,0.5229
100,4,0.03,0.9,0.8,1.0,0.1556,0.18,0.5219
100,4,0.03,0.8,0.8,1.25,0.2556,0.3,0.4933
100,4,0.03,0.9,0.8,1.25,0.233,0.26,0.4933
100,4,0.03,0.8,0.8,1.5,0.2418,0.3,0.4657
100,4,0.03,0.9,0.8,1.5,0.2368,0.3,0.4514
100,4,0.03,0.8,0.8,1.75,0.2193,0.3,0.4105
100,4,0.03,0.9,0.8,1.75,0.2257,0.3,0.4248
100,4,0.03,0.8,0.8,2.0,0.2149,0.3,0.3962
100,4,0.03,0.9,0.8,2.0,0.2569,0.35,0.399
200,4,0.03,0.8,0.8,1.0,0.1556,0.18,0.5086
200,4,0.03,0.9,0.8,1.0,0.1556,0.18,0.5076
200,4,0.03,0.8,0.8,1.25,0.1867,0.22,0.4933
200,4,0.03,0.9,0.8,1.25,0.2123,0.26,0.5067
200,4,0.03,0.8,0.8,1.5,0.2123,0.26,0.5067
200,4,0.03,0.9,0.8,1.5,0.2123,0.26,0.4933
200,4,0.03,0.8,0.8,1.75,0.2623,0.3,0.52
200,4,0.03,0.9,0.8,1.75,0.2123,0.26,0.4933
200,4,0.03,0.8,0.8,2.0,0.2514,0.3,0.4924
200,4,0.03,0.9,0.8,2.0,0.1938,0.26,0.4505
300,4,0.03,0.8,0.8,1.0,0.1467,0.18,0.481
300,4,0.03,0.9,0.8,1.0,0.1556,0.18,0.5076
300,4,0.03,0.8,0.8,1.25,0.1867,0.22,0.4933
300,4,0.03,0.9,0.8,1.25,0.2123,0.26,0.5067
300,4,0.03,0.8,0.8,1.5,0.2123,0.26,0.4933
300,4,0.03,0.9,0.8,1.5,0.205,0.26,0.479
300,4,0.03,0.8,0.8,1.75,0.2123,0.26,0.5067
300,4,0.03,0.9,0.8,1.75,0.199,0.26,0.4648
300,4,0.03,0.8,0.8,2.0,0.2123,0.26,0.4933
300,4,0.03,0.9,0.8,2.0,0.199,0.26,0.4648
100,5,0.03,0.8,0.8,1.0,0.2056,0.22,0.5219
100,5,0.03,0.9,0.8,1.0,0.1556,0.18,0.5352
100,5,0.03,0.8,0.8,1.25,0.2676,0.3,0.5352
100,5,0.03,0.9,0.8,1.25,0.2587,0.3,0.5067
100,5,0.03,0.8,0.8,1.5,0.2484,0.3,0.479
100,5,0.03,0.9,0.8,1.5,0.2587,0.3,0.5067
100,5,0.03,0.8,0.8,1.75,0.2368,0.3,0.4514
100,5,0.03,0.9,0.8,1.75,0.2368,0.3,0.4514
100,5,0.03,0.8,0.8,2.0,0.2302,0.3,0.4381
100,5,0.03,0.9,0.8,2.0,0.2316,0.3,0.4371
200,5,0.03,0.8,0.8,1.0,0.1556,0.18,0.5086
200,5,0.03,0.9,0.8,1.0,0.1556,0.18,0.5219
200,5,0.03,0.8,0.8,1.25,0.1556,0.18,0.5086
200,5,0.03,0.9,0.8,1.25,0.2212,0.26,0.521
200,5,0.03,0.8,0.8,1.5,0.2123,0.26,0.5067
200,5,0.03,0.9,0.8,1.5,0.2123,0.26,0.5067
200,5,0.03,0.8,0.8,1.75,0.2123,0.26,0.5067
200,5,0.03,0.9,0.8,1.75,0.199,0.26,0.4648
200,5,0.03,0.8,0.8,2.0,0.2014,0.26,0.479
200,5,0.03,0.9,0.8,2.0,0.249,0.3,0.4914
300,5,0.03,0.8,0.8,1.0,0.1467,0.18,0.481
300,5,0.03,0.9,0.8,1.0,0.1723,0.22,0.5067
300,5,0.03,0.8,0.8,1.25,0.1467,0.18,0.4667
300,5,0.03,0.9,0.8,1.25,0.1812,0.22,0.5076
300,5,0.03,0.8,0.8,1.5,0.2123,0.26,0.4933
300,5,0.03,0.9,0.8,1.5,0.205,0.26,0.4924
300,5,0.03,0.8,0.8,1.75,0.2123,0.26,0.5067
300,5,0.03,0.9,0.8,1.75,0.199,0.26,0.4648
300,5,0.03,0.8,0.8,2.0,0.199,0.26,0.4781
300,5,0.03,0.9,0.8,2.0,0.249,0.3,0.4914
100,3,0.05,0.8,0.8,1.0,0.1812,0.22,0.5219
100,3,0.05,0.9,0.8,1.0,0.2312,0.26,0.5486
100,3,0.05,0.8,0.8,1.25,0.2587,0.3,0.5067
100,3,0.05,0.9,0.8,1.25,0.2256,0.26,0.521
100,3,0.05,0.8,0.8,1.5,0.2418,0.3,0.4657
100,3,0.05,0.9,0.8,1.5,0.2362,0.3,0.4524
100,3,0.05,0.8,0.8,1.75,0.2305,0.3,0.439
100,3,0.05,0.9,0.8,1.75,0.2244,0.3,0.4248
100,3,0.05,0.8,0.8,2.0,0.2194,0.3,0.4114
100,3,0.05,0.9,0.8,2.0,0.215,0.3,0.3981
200,3,0.05,0.8,0.8,1.0,0.1723,0.22,0.48
200,3,0.05,0.9,0.8,1.0,0.1556,0.18,0.5076
200,3,0.05,0.8,0.8,1.25,0.2123,0.26,0.4933
200,3,0.05,0.9,0.8,1.25,0.2,0.22,0.521
200,3,0.05,0.8,0.8,1.5,0.2123,0.26,0.4933
200,3,0.05,0.9,0.8,1.5,0.2168,0.26,0.52
200,3,0.05,0.8,0.8,1.75,0.2568,0.3,0.5067
200,3,0.05,0.9,0.8,1.75,0.2095,0.26,0.4924
200,3,0.05,0.8,0.8,2.0,0.2568,0.3,0.5067
200,3,0.05,0.9,0.8,2.0,0.1984,0.26,0.4657
300,3,0.05,0.8,0.8,1.0,0.1723,0.22,0.48
300,3,0.05,0.9,0.8,1.0,0.1467,0.18,0.48
300,3,0.05,0.8,0.8,1.25,0.1723,0.22,0.48
300,3,0.05,0.9,0.8,1.25,0.1723,0.22,0.4933
300,3,0.05,0.8,0.8,1.5,0.2123,0.26,0.4933
300,3,0.05,0.9,0.8,1.5,0.205,0.26,0.4924
300,3,0.05,0.8,0.8,1.75,0.2568,0.3,0.5067
300,3,0.05,0.9,0.8,1.75,0.205,0.26,0.4924
300,3,0.05,0.8,0.8,2.0,0.245,0.3,0.479
300,3,0.05,0.9,0.8,2.0,0.2429,0.3,0.479
100,4,0.05,0.8,0.8,1.0,0.1556,0.18,0.5086
100,4,0.05,0.9,0.8,1.0,0.1556,0.18,0.5486
100,4,0.05,0.8,0.8,1.25,0.2057,0.26,0.4933
100,4,0.05,0.9,0.8,1.25,0.1556,0.18,0.5219
100,4,0.05,0.8,0.8,1.5,0.2021,0.26,0.48
100,4,0.05,0.9,0.8,1.5,0.2168,0.26,0.52
100,4,0.05,0.8,0.8,1.75,0.1948,0.26,0.4657
100,4,0.05,0.9,0.8,1.75,0.2095,0.26,0.4924
100,4,0.05,0.8,0.8,2.0,0.2428,0.3,0.4657
100,4,0.05,0.9,0.8,2.0,0.2368,0.3,0.4514
200,4,0.05,0.8,0.8,1.0,0.1723,0.22,0.5067
200,4,0.05,0.9,0.8,1.0,0.1467,0.18,0.5067
200,4,0.05,0.8,0.8,1.25,0.1723,0.22,0.4933
200,4,0.05,0.9,0.8,1.25,0.1467,0.18,0.48
200,4,0.05,0.8,0.8,1.5,0.2123,0.26,0.4933
200,4,0.05,0.9,0.8,1.5,0.2123,0.26,0.5067
200,4,0.05,0.8,0.8,1.75,0.2123,0.26,0.5067
200,4,0.05,0.9,0.8,1.75,0.205,0.26,0.479
200,4,0.05,0.8,0.8,2.0,0.205,0.26,0.4924
200,4,0.05,0.9,0.8,2.0,0.2123,0.26,0.4933
300,4,0.05,0.8,0.8,1.0,0.1723,0.22,0.4933
300,4,0.05,0.9,0.8,1.0,0.1467,0.18,0.48
300,4,0.05,0.8,0.8,1.25,0.1723,0.22,0.48
300,4,0.05,0.9,0.8,1.25,0.1723,0.22,0.52
300,4,0.05,0.8,0.8,1.5,0.165,0.22,0.4657
300,4,0.05,0.9,0.8,1.5,0.165,0.22,0.4924
300,4,0.05,0.8,0.8,1.75,0.2495,0.3,0.4924
300,4,0.05,0.9,0.8,1.75,0.2434,0.3,0.4781
300,4,0.05,0.8,0.8,2.0,0.2495,0.3,0.4924
300,4,0.05,0.9,0.8,2.0,0.2495,0.3,0.4924
100,5,0.05,0.8,0.8,1.0,0.1812,0.22,0.5352
100,5,0.05,0.9,0.8,1.0,0.1556,0.18,0.5352
100,5,0.05,0.8,0.8,1.25,0.1723,0.22,0.4933
100,5,0.05,0.9,0.8,1.25,0.1723,0.22,0.5076
100,5,0.05,0.8,0.8,1.5,0.2087,0.26,0.4933
100,5,0.05,0.9,0.8,1.5,0.2123,0.26,0.5067
100,5,0.05,0.8,0.8,1.75,0.2014,0.26,0.479
100,5,0.05,0.9,0.8,1.75,0.1953,0.26,0.4514
100,5,0.05,0.8,0.8,2.0,0.2014,0.26,0.4657
100,5,0.05,0.9,0.8,2.0,0.2398,0.3,0.4648
200,5,0.05,0.8,0.8,1.0,0.1723,0.22,0.5067
200,5,0.05,0.9,0.8,1.0,0.1467,0.18,0.48
200,5,0.05,0.8,0.8,1.25,0.165,0.22,0.479
200,5,0.05,0.9,0.8,1.25,0.1723,0.22,0.5067
200,5,0.05,0.8,0.8,1.5,0.205,0.26,0.479
200,5,0.05,0.9,0.8,1.5,0.2123,0.26,0.5067
200,5,0.05,0.8,0.8,1.75,0.205,0.26,0.4924
200,5,0.05,0.9,0.8,1.75,0.2434,0.3,0.4781
200,5,0.05,0.8,0.8,2.0,0.2495,0.3,0.4924
200,5,0.05,0.9,0.8,2.0,0.2434,0.3,0.4781
300,5,0.05,0.8,0.8,1.0,0.1723,0.22,0.4933
300,5,0.05,0.9,0.8,1.0,0.165,0.22,0.479
300,5,0.05,0.8,0.8,1.25,0.165,0.22,0.4657
300,5,0.05,0.9,0.8,1.25,0.165,0.22,0.5057
300,5,0.05,0.8,0.8,1.5,0.2095,0.26,0.479
300,5,0.05,0.9,0.8,1.5,0.165,0.22,0.479
300,5,0.05,0.8,0.8,1.75,0.2495,0.3,0.4924
300,5,0.05,0.9,0.8,1.75,0.2495,0.3,0.4924
300,5,0.05,0.8,0.8,2.0,0.2495,0.3,0.4924
300,5,0.05,0.9,0.8,2.0,0.2434,0.3,0.4781
